item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000087,ORD00352,PROD0162,3,16351.49,25.82
ITEM000088,ORD00971,PROD0427,5,11513.31,13.14
ITEM000089,ORD00622,PROD0380,6,36362.81,41.46
ITEM000090,ORD00646,PROD0461,7,38158.49,0.28
ITEM000091,ORD00828,PROD0057,6,32325.06,7.0
ITEM000092,ORD00936,PROD0281,-2,10509.59,35.83
ITEM000093,ORD00604,PROD0383,-4,39566.91,16.28
ITEM000094,ORD01147,PROD0205,8,42834.53,5.34
ITEM000095,ORD00498,PROD0165,8,47080.56,29.65
ITEM000096,ORD00095,PROD0400,8,12567.32,49.35
ITEM000097,ORD00769,PROD0061,6,13874.71,18.47
ITEM000098,ORD00583,PROD0114,2,16294.82,38.76
ITEM000099,ORD00848,PROD0156,5,28747.0,28.09
ITEM000100,ORD00898,PROD0252,5,27878.05,40.87
ITEM000101,ORD00045,PROD0144,2,43549.19,34.96
ITEM000102,ORD00643,PROD0370,8,37388.93,10.74
ITEM000103,ORD00658,PROD0480,6,16717.3,33.88
ITEM000104,ORD00531,PROD0262,1,7099.47,32.11
ITEM000105,ORD00876,PROD0406,1,41600.55,3.01
ITEM000106,ORD01050,PROD0383,-4,49783.16,47.99
ITEM000107,ORD00670,PROD0552,6,31755.25,36.72
ITEM000108,ORD01158,PROD0095,2,26634.95,39.93
ITEM000109,ORD00180,PROD0588,4,37620.18,38.36
ITEM000110,ORD00883,PROD0284,3,32557.14,3.65
ITEM000111,ORD01179,PROD0348,7,44480.91,20.07
ITEM000112,ORD00602,PROD0007,7,1041.7,11.26
ITEM000113,ORD00875,PROD0155,4,29260.39,38.39
ITEM000114,ORD01091,PROD0469,4,38519.4,28.72
ITEM000115,ORD00727,PROD0591,3,10386.59,9.08
ITEM000116,ORD00054,PROD0547,1,38995.21,27.0
ITEM000117,ORD00142,PROD0336,4,32942.54,10.09
ITEM000118,ORD00335,PROD0435,4,46821.48,10.86
ITEM000119,ORD00728,PROD0028,8,6243.19,47.4
ITEM000120,ORD00053,PROD0455,4,19082.79,22.34
ITEM000121,ORD00818,PROD0204,7,29551.84,6.23
ITEM000122,ORD00359,PROD0519,2,8227.86,10.48
ITEM000123,ORD01002,PROD0367,6,20814.88,10.52
ITEM000124,ORD00186,PROD0520,5,25485.89,47.24
ITEM000125,ORD00034,PROD0008,7,20075.39,42.87
ITEM000126,ORD00727,PROD0370,2,21764.03,42.39
ITEM000127,ORD00616,PROD0235,2,32556.59,40.51
ITEM000128,ORD00966,PROD0017,5,36508.49,44.87
ITEM000129,ORD00093,PROD0145,3,28272.5,6.4
ITEM000130,ORD00319,PROD0144,1,3152.95,40.12
ITEM000131,ORD00601,PROD0381,3,21020.03,8.73
ITEM000132,ORD01063,PROD0156,3,18316.89,46.25
ITEM000133,ORD00333,PROD0031,5,20242.35,18.66
ITEM000134,ORD00544,PROD0329,-1,16645.94,44.44
ITEM000135,ORD00071,PROD0148,1,27019.8,38.13
ITEM000136,ORD01076,PROD0174,1,17498.45,11.13
ITEM000137,ORD00860,PROD0068,8,23275.22,20.75
ITEM000138,ORD01100,PROD0451,1,15640.4,23.47
ITEM000139,ORD00527,PROD0132,6,47849.58,33.42
ITEM000140,ORD00198,PROD0490,4,6379.07,25.74
ITEM000141,ORD00293,PROD0231,2,35891.68,14.11
ITEM000142,ORD00216,PROD0256,3,36528.51,15.06
ITEM000143,ORD00947,PROD0533,5,38018.69,6.59
ITEM000144,ORD00865,PROD0384,1,37422.0,39.99
ITEM000145,ORD00099,PROD0203,1,7233.43,1.71
ITEM000146,ORD00488,PROD0166,1,28647.13,24.19
ITEM000147,ORD00705,PROD0193,7,22660.0,10.74
ITEM000148,ORD00539,PROD0559,5,32807.48,25.72
ITEM000149,ORD00691,PROD0346,3,12838.69,40.35
ITEM000150,ORD00999,PROD0563,2,33433.83,17.12
ITEM000151,ORD01064,PROD0270,6,21383.07,1.27
ITEM000152,ORD01113,PROD0130,8,41520.89,6.01
ITEM000153,ORD00606,PROD0130,5,22682.98,27.66
ITEM000154,ORD00170,PROD0517,4,7171.25,34.03
ITEM000155,ORD00035,PROD0204,6,26326.18,39.0
ITEM000156,ORD01153,PROD0544,6,27018.91,34.68
ITEM000157,ORD01088,PROD0171,2,34051.81,31.75
ITEM000158,ORD00464,PROD0156,7,42928.93,13.92
ITEM000159,ORD00821,PROD0304,7,44697.85,23.4
ITEM000160,ORD00279,PROD0308,-3,35446.22,33.41
ITEM000161,ORD00428,PROD0069,7,7101.13,24.05
ITEM000162,ORD00329,PROD0249,3,32339.62,19.55
ITEM000163,ORD00397,PROD0255,2,11392.62,47.45
ITEM000164,ORD00288,PROD0412,3,10370.97,7.12
ITEM000165,ORD00565,PROD0336,-1,26078.95,26.21
ITEM000166,ORD00965,PROD0238,5,41129.79,27.06
ITEM000167,ORD00931,PROD0158,6,43774.25,47.47
ITEM000168,ORD00084,PROD0391,5,5730.59,23.33
ITEM000169,ORD01199,PROD0173,8,37947.13,11.23
ITEM000170,ORD00212,PROD0091,6,12140.5,42.5
ITEM000171,ORD01013,PROD0443,2,43271.85,14.01
ITEM000172,ORD00565,PROD0258,6,21040.3,41.81
ITEM000173,ORD00731,PROD0086,-4,12212.94,24.75
ITEM000174,ORD00889,PROD0273,8,28077.47,41.87
ITEM000175,ORD00770,PROD0532,7,2200.85,5.39
ITEM000176,ORD00202,PROD0590,4,18098.97,33.63
ITEM000177,ORD00864,PROD0404,1,17430.49,39.41
ITEM000178,ORD00944,PROD0588,1,47015.83,40.66
ITEM000179,ORD00885,PROD0027,3,1304.81,47.3
ITEM000180,ORD00203,PROD0300,1,36479.96,42.47
ITEM000181,ORD00520,PROD0368,6,17683.68,48.28
ITEM000182,ORD00567,PROD0457,6,22964.41,49.55
ITEM000183,ORD00539,PROD0165,6,37061.17,37.67
ITEM000184,ORD00353,PROD0512,6,17655.05,26.91
ITEM000185,ORD00467,PROD0325,2,45717.15,4.52
ITEM000186,ORD00832,PROD0321,3,37852.57,10.11
ITEM000187,ORD00995,PROD0360,8,44799.43,37.74
ITEM000188,ORD00346,PROD0331,-2,29134.16,45.44
ITEM000189,ORD01148,PROD0304,3,19958.76,34.78
ITEM000190,ORD00407,PROD0096,7,42625.22,7.29
ITEM000191,ORD00697,PROD0546,3,46070.79,5.18
ITEM000192,ORD00602,PROD0584,6,49972.0,22.13
ITEM000193,ORD00084,PROD0252,5,1415.32,11.22
ITEM000194,ORD00449,PROD0252,8,32429.96,10.8
ITEM000195,ORD00026,PROD0304,1,42890.81,24.16
ITEM000196,ORD00899,PROD0425,4,20674.95,42.4
ITEM000197,ORD01190,PROD0410,7,37364.96,35.34
ITEM000198,ORD00746,PROD0270,6,45012.64,46.85
ITEM000199,ORD00656,PROD0554,3,16150.96,41.37
ITEM000200,ORD00506,PROD0552,2,49052.45,39.21
ITEM000201,ORD01040,PROD0488,2,40381.95,30.2
ITEM000202,ORD00714,PROD0568,4,23317.79,28.71
ITEM000203,ORD00109,PROD0472,8,29594.04,3.23
ITEM000204,ORD00351,PROD0023,1,44802.5,23.83
ITEM000205,ORD00303,PROD0066,2,47741.24,13.8
ITEM000206,ORD00517,PROD0029,8,21598.42,38.22
ITEM000207,ORD00274,PROD0406,8,15560.28,34.86
ITEM000208,ORD00624,PROD0339,7,7297.23,26.98
ITEM000209,ORD00645,PROD0007,1,35634.47,17.92
ITEM000210,ORD00246,PROD0073,7,36545.98,36.63
ITEM000211,ORD00510,PROD0184,1,32505.41,24.75
ITEM000212,ORD00245,PROD0340,7,28742.74,47.45
ITEM000213,ORD00794,PROD0418,8,7011.62,17.16
ITEM000214,ORD00197,PROD0319,7,43965.32,24.98
ITEM000215,ORD00378,PROD0267,4,17624.91,32.36
ITEM000216,ORD00168,PROD0348,2,26240.98,1.02
ITEM000217,ORD00125,PROD0571,6,4864.97,0.09
ITEM000218,ORD01084,PROD0013,-4,15382.57,40.0
ITEM000219,ORD01164,PROD0577,2,47790.01,9.42
ITEM000220,ORD01021,PROD0187,6,4938.59,34.16
ITEM000221,ORD00317,PROD0384,8,35347.74,43.98
ITEM000222,ORD00364,PROD0520,8,1614.05,1.94
ITEM000223,ORD01101,PROD0124,5,46758.12,5.39
ITEM000224,ORD00370,PROD0531,2,24932.79,30.18
ITEM000225,ORD00691,PROD0466,7,39224.73,47.2
ITEM000226,ORD01136,PROD0068,6,7154.93,48.02
ITEM000227,ORD01006,PROD0193,1,17980.24,45.83
ITEM000228,ORD00984,PROD0102,2,33209.28,16.03
ITEM000229,ORD01080,PROD0577,7,37870.48,32.16
ITEM000230,ORD00579,PROD0329,4,14718.66,31.32
ITEM000231,ORD00828,PROD0446,8,1289.32,5.22
ITEM000232,ORD01150,PROD0496,5,24930.97,39.32
ITEM000233,ORD00589,PROD0057,1,9485.14,4.46
ITEM000234,ORD01170,PROD0556,6,36988.93,26.71
ITEM000235,ORD00097,PROD0311,6,48212.94,2.62
ITEM000236,ORD00889,PROD0521,3,25486.4,34.06
ITEM000237,ORD00092,PROD0220,3,44628.57,35.62
ITEM000238,ORD00150,PROD0209,1,2357.17,19.07
ITEM000239,ORD00239,PROD0298,-2,33013.75,45.76
ITEM000240,ORD00678,PROD0182,4,18652.01,41.89
ITEM000241,ORD00092,PROD0160,4,31126.01,12.91
ITEM000242,ORD00866,PROD0585,5,10323.33,43.93
ITEM000243,ORD00559,PROD0420,7,41195.39,18.86
ITEM000244,ORD00389,PROD0500,1,31364.2,19.77
ITEM000245,ORD00920,PROD0132,4,3619.17,5.72
ITEM000246,ORD00326,PROD0501,6,8451.6,37.0
ITEM000247,ORD00816,PROD0292,5,42789.85,13.07
ITEM000248,ORD00245,PROD0405,4,47515.43,27.74
ITEM000249,ORD01020,PROD0206,1,23500.95,5.47
ITEM000250,INVALID_ORDER_250,PROD0039,3,4272.04,34.68
ITEM000251,ORD00139,PROD0248,6,21961.62,7.14
ITEM000252,ORD00085,PROD0516,4,38450.61,36.25
ITEM000253,ORD00090,PROD0583,-2,17133.24,47.52
ITEM000254,ORD00360,PROD0359,1,19626.46,7.65
ITEM000255,ORD00598,PROD0518,3,31397.96,16.79
ITEM000256,ORD00899,PROD0026,2,42186.77,30.08
ITEM000257,ORD00590,PROD0571,6,2929.99,34.24
ITEM000258,ORD00840,PROD0531,3,36231.56,16.08
ITEM000259,ORD00079,PROD0147,4,394.49,0.17
ITEM000260,ORD00120,PROD0397,2,42864.45,38.11
ITEM000261,ORD00073,PROD0578,1,32478.25,45.54
ITEM000262,ORD01171,PROD0396,7,22538.59,37.4
ITEM000263,ORD01005,PROD0257,8,24008.54,44.93
ITEM000264,ORD00931,PROD0550,4,7305.93,31.85
ITEM000265,ORD00358,PROD0398,3,18467.1,1.05
ITEM000266,ORD00615,PROD0148,7,35563.22,27.07
ITEM000267,ORD00465,PROD0412,6,10484.24,20.29
ITEM000268,ORD00856,PROD0472,8,47623.47,23.18
ITEM000269,ORD00692,PROD0334,3,36193.05,10.3
ITEM000270,ORD00445,PROD0196,6,45027.68,27.41
ITEM000271,ORD00837,PROD0384,4,19702.2,23.51
ITEM000272,ORD01112,PROD0464,7,2639.2,10.86
ITEM000273,ORD01130,PROD0161,7,9097.73,22.15
ITEM000274,ORD00423,PROD0396,3,13738.67,37.3
ITEM000275,ORD01154,PROD0160,4,7619.09,15.82
ITEM000276,ORD00504,PROD0134,8,15879.11,46.65
ITEM000277,ORD01087,PROD0037,2,4378.93,0.43
ITEM000278,ORD00109,PROD0340,6,46584.98,17.83
ITEM000279,ORD00309,PROD0219,2,18210.71,45.46
ITEM000280,ORD01195,PROD0458,3,14558.08,5.07
ITEM000281,ORD01151,PROD0164,3,8246.51,5.92
ITEM000282,ORD00840,PROD0163,8,35023.14,14.06
ITEM000283,ORD00511,PROD0117,3,45468.32,4.85
ITEM000284,ORD00081,PROD0139,8,19030.55,8.52
ITEM000285,ORD00041,PROD0372,3,22421.94,0.99
ITEM000286,ORD01008,PROD0581,6,49391.98,44.32
ITEM000287,ORD00142,PROD0182,5,33900.92,45.84
ITEM000288,ORD00228,PROD0202,6,14688.24,39.64
ITEM000289,ORD00171,PROD0364,8,896.18,44.55
ITEM000290,ORD00856,PROD0174,5,9681.96,14.01
ITEM000291,ORD01066,PROD0025,3,2695.35,11.94
ITEM000292,ORD00628,PROD0270,7,16942.14,13.64
ITEM000293,ORD00939,PROD0083,1,6619.43,48.91
ITEM000294,ORD00022,PROD0588,-4,10062.16,23.51
ITEM000295,ORD00796,PROD0037,5,34873.12,16.78
ITEM000296,ORD01050,PROD0435,6,6703.77,17.31
ITEM000297,ORD00536,PROD0566,5,13406.96,45.67
ITEM000298,ORD00174,PROD0327,2,1248.07,6.43
ITEM000299,ORD00220,PROD0249,6,3341.46,28.6
ITEM000300,ORD00486,PROD0090,1,36183.05,36.83
ITEM000301,ORD00699,PROD0073,8,31587.05,16.55
ITEM000302,ORD00217,PROD0125,3,10056.11,37.3
ITEM000303,ORD00167,PROD0191,2,291.67,39.58
ITEM000304,ORD00478,PROD0216,2,19406.36,31.27
ITEM000305,ORD00395,PROD0488,8,30312.35,9.3
ITEM000306,ORD00590,PROD0063,1,4069.96,48.71
ITEM000307,ORD00540,PROD0148,4,35028.35,35.14
ITEM000308,ORD00156,PROD0193,6,37838.68,11.39
ITEM000309,ORD00809,PROD0304,5,10991.09,12.55
ITEM000310,ORD00707,PROD0247,5,14144.31,8.06
ITEM000311,ORD00127,PROD0065,1,31030.28,40.89
ITEM000312,ORD00164,PROD0457,-1,15988.06,38.57
ITEM000313,ORD00741,PROD0068,6,22594.27,37.11
ITEM000314,ORD00984,PROD0380,8,15742.39,49.95
ITEM000315,ORD00390,PROD0234,1,34574.14,20.49
ITEM000316,ORD00946,PROD0333,7,23234.83,44.95
ITEM000317,ORD00927,PROD0157,7,21037.9,1.22
ITEM000318,ORD00286,PROD0325,3,20030.97,0.7
ITEM000319,ORD00354,PROD0155,3,10927.99,0.82
ITEM000320,ORD00968,PROD0154,4,1181.87,19.61
ITEM000321,ORD00622,PROD0563,4,24378.09,36.19
ITEM000322,ORD00887,PROD0446,3,24418.37,33.29
ITEM000323,ORD00724,PROD0109,6,35330.6,30.39
ITEM000324,ORD00290,PROD0241,8,40200.74,20.82
ITEM000325,ORD00027,PROD0316,6,31559.91,34.2
ITEM000326,ORD00879,PROD0125,5,17120.75,18.67
ITEM000327,ORD00263,PROD0379,8,3249.94,22.35
ITEM000328,ORD00855,PROD0253,6,34445.26,45.51
ITEM000329,ORD00641,PROD0488,6,28903.27,16.55
ITEM000330,ORD00399,PROD0131,4,35434.43,30.47
ITEM000331,ORD00511,PROD0501,1,15741.66,44.04
ITEM000332,ORD00787,PROD0152,2,26508.85,23.13
ITEM000333,ORD00545,PROD0069,4,39584.95,13.81
ITEM000334,ORD00294,PROD0373,1,23739.97,11.17
ITEM000335,ORD00007,PROD0336,8,28137.71,39.18
ITEM000336,ORD00656,PROD0497,4,41224.41,32.29
ITEM000337,ORD00247,PROD0303,4,26222.76,25.21
ITEM000338,ORD00509,PROD0386,1,14979.03,10.21
ITEM000339,ORD00607,PROD0026,-4,4027.61,23.25
ITEM000340,ORD00303,PROD0458,3,29732.87,37.92
ITEM000341,ORD00221,PROD0281,4,35344.21,22.67
ITEM000342,ORD00334,PROD0132,1,6283.36,43.39
ITEM000343,ORD01132,PROD0489,6,41607.04,18.75
ITEM000344,ORD00053,PROD0445,7,8982.12,30.65
ITEM000345,ORD00071,PROD0290,1,44174.65,2.79
ITEM000346,ORD00271,PROD0509,2,7081.58,5.11
ITEM000347,ORD00335,PROD0241,6,48618.74,16.91
ITEM000348,ORD00846,PROD0352,8,20087.94,3.11
ITEM000349,ORD00853,PROD0406,2,40736.77,22.42
ITEM000350,ORD00237,PROD0268,1,32273.45,27.88
ITEM000351,ORD00108,PROD0231,1,11028.15,11.63
ITEM000352,ORD00313,PROD0141,6,19437.51,31.72
ITEM000353,ORD00811,PROD0020,5,24662.14,33.48
ITEM000354,ORD00850,PROD0564,4,29524.47,10.44
ITEM000355,ORD01194,PROD0504,-1,29121.0,18.41
ITEM000356,ORD00337,PROD0407,1,45768.51,37.21
ITEM000357,ORD00577,PROD0273,7,8077.18,10.08
ITEM000358,ORD00525,PROD0343,5,19692.36,32.52
ITEM000359,ORD00925,PROD0030,7,10309.04,5.63
ITEM000360,ORD00794,PROD0110,4,10087.12,28.51
ITEM000361,ORD00612,PROD0220,5,18110.82,2.72
ITEM000362,ORD00471,PROD0581,5,10918.62,1.19
ITEM000363,ORD00026,PROD0222,6,10397.0,47.34
ITEM000364,ORD00796,PROD0336,7,30130.47,8.26
ITEM000365,ORD01007,PROD0492,5,39770.66,33.35
ITEM000366,ORD00509,PROD0080,1,42648.8,30.96
ITEM000367,ORD00023,PROD0281,5,22308.52,36.44
ITEM000368,ORD00327,PROD0100,4,32324.03,48.55
ITEM000369,ORD00764,PROD0078,1,14943.75,1.75
ITEM000370,ORD00246,PROD0310,8,46513.27,44.37
ITEM000371,ORD00420,PROD0124,1,44026.5,46.6
ITEM000372,ORD00358,PROD0015,4,22816.7,44.32
ITEM000373,ORD01142,PROD0280,8,3257.86,34.59
ITEM000374,ORD00442,PROD0067,7,1591.92,24.87
ITEM000375,ORD00954,PROD0423,1,28880.36,2.2
ITEM000376,ORD00130,PROD0288,8,10214.66,13.36
ITEM000377,ORD00557,PROD0193,8,40536.66,49.79
ITEM000378,ORD00091,PROD0577,7,27991.33,35.15
ITEM000379,ORD00475,PROD0049,2,29942.65,22.81
ITEM000380,ORD00968,PROD0558,6,36337.31,27.04
ITEM000381,ORD00657,PROD0356,7,18668.28,49.18
ITEM000382,ORD00599,PROD0152,8,33817.96,20.39
ITEM000383,ORD00885,PROD0089,3,16706.92,17.93
ITEM000384,ORD00956,PROD0462,3,44498.07,17.17
ITEM000385,ORD00298,PROD0350,3,42569.78,28.68
ITEM000386,ORD00422,PROD0406,7,44048.08,49.53
ITEM000387,ORD01115,PROD0043,1,12810.39,27.52
ITEM000388,ORD00338,PROD0233,6,24510.08,16.27
ITEM000389,ORD00765,PROD0562,7,11031.66,17.56
ITEM000390,ORD00836,PROD0109,8,7869.49,34.7
ITEM000391,ORD00386,PROD0001,2,24810.63,45.79
ITEM000392,ORD00628,PROD0248,5,41279.07,27.1
ITEM000393,ORD00198,PROD0196,-1,14859.63,10.35
ITEM000394,ORD00147,PROD0069,2,21153.68,17.88
ITEM000395,ORD00826,PROD0011,5,17224.16,18.75
ITEM000396,ORD00623,PROD0439,8,31797.46,29.67
ITEM000397,ORD01007,PROD0033,6,1648.91,35.03
ITEM000398,ORD00786,PROD0552,7,34460.7,31.01
ITEM000399,ORD00719,PROD0503,7,2029.71,24.37
ITEM000400,ORD00178,PROD0487,2,4239.94,36.21
ITEM000401,ORD00193,PROD0466,6,12144.79,49.2
ITEM000402,ORD00071,PROD0331,8,10906.11,20.53
ITEM000403,ORD00022,PROD0132,1,46783.36,22.22
ITEM000404,ORD01029,PROD0186,7,40085.25,26.78
ITEM000405,ORD00100,PROD0260,8,8778.54,22.59
ITEM000406,ORD00334,PROD0041,6,21393.91,34.34
ITEM000407,ORD00158,PROD0204,4,384.06,38.79
ITEM000408,ORD00362,PROD0386,3,11248.79,43.28
ITEM000409,ORD01196,PROD0506,8,40440.08,47.4
ITEM000410,ORD00238,PROD0104,3,37043.78,47.33
ITEM000411,ORD01153,PROD0025,6,39737.43,21.5
ITEM000412,ORD01076,PROD0378,2,20989.37,1.68
ITEM000413,ORD00894,PROD0571,2,3352.25,13.14
ITEM000414,ORD00733,PROD0487,4,45340.15,43.78
ITEM000415,ORD00248,PROD0025,3,33265.58,22.31
ITEM000416,ORD01119,PROD0383,8,3434.26,39.5
ITEM000417,ORD00380,PROD0597,1,11689.19,7.37
ITEM000418,ORD00273,PROD0401,-1,25558.78,0.61
ITEM000419,ORD01075,PROD0273,1,15236.87,40.57
ITEM000420,ORD00655,PROD0250,4,9514.48,23.74
ITEM000421,ORD00981,PROD0220,7,27696.32,31.35
ITEM000422,ORD00146,PROD0150,3,43073.16,3.4
ITEM000423,ORD01052,PROD0075,4,31384.35,20.68
ITEM000424,ORD00741,PROD0231,7,3077.68,21.59
ITEM000425,ORD00657,PROD0405,-3,19599.73,30.32
ITEM000426,ORD00461,PROD0131,7,32337.44,37.77
ITEM000427,ORD00323,PROD0248,5,24906.96,3.75
ITEM000428,ORD00064,PROD0428,2,35253.27,38.85
ITEM000429,ORD00082,PROD0379,5,23278.9,40.34
ITEM000430,ORD00700,PROD0311,6,45974.41,42.77
ITEM000431,ORD00963,PROD0524,3,23519.47,4.55
ITEM000432,ORD01003,PROD0351,2,12654.49,13.41
ITEM000433,ORD00556,PROD0296,4,15721.28,45.29
ITEM000434,ORD00491,PROD0580,5,9673.14,16.75
ITEM000435,ORD00843,PROD0286,7,33517.26,9.42
ITEM000436,ORD00286,PROD0303,6,35659.79,27.65
ITEM000437,ORD00419,PROD0474,3,5948.82,36.14
ITEM000438,ORD00597,PROD0253,6,9235.58,32.37
ITEM000439,ORD01018,PROD0384,8,35880.37,46.62
ITEM000440,ORD00941,PROD0551,5,30338.59,12.63
ITEM000441,ORD00772,PROD0564,1,3420.67,40.6
ITEM000442,ORD00522,PROD0507,5,25604.81,21.02
ITEM000443,ORD00545,PROD0053,8,29804.06,23.82
ITEM000444,ORD00793,PROD0321,3,6233.54,38.01
ITEM000445,ORD00112,PROD0043,5,5462.34,26.76
ITEM000446,ORD00261,PROD0099,7,10324.15,44.57
ITEM000447,ORD01161,PROD0062,-3,48844.13,35.98
ITEM000448,ORD00583,PROD0441,4,30953.76,28.53
ITEM000449,ORD00547,PROD0566,4,7669.97,27.69
ITEM000450,ORD00649,PROD0226,7,10236.75,30.81
ITEM000451,ORD00329,PROD0094,5,40496.56,6.23
ITEM000452,ORD00505,PROD0417,8,30519.4,44.59
ITEM000453,ORD00452,PROD0287,4,33590.96,21.76
ITEM000454,ORD00792,PROD0457,2,42379.38,20.43
ITEM000455,ORD00910,PROD0454,7,42544.26,37.53
ITEM000456,ORD00048,PROD0555,4,44102.13,24.58
ITEM000457,ORD01074,PROD0351,8,25427.21,19.4
ITEM000458,ORD00906,PROD0211,2,30087.58,34.95
ITEM000459,ORD00774,PROD0173,4,10974.63,17.66
ITEM000460,ORD00562,PROD0255,4,19034.26,43.89
ITEM000461,ORD00050,PROD0577,2,22667.07,40.01
ITEM000462,ORD00797,PROD0586,7,1122.66,21.81
ITEM000463,ORD00913,PROD0435,5,17476.68,13.46
ITEM000464,ORD00533,PROD0491,4,42696.98,32.25
